order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2539329,1,prior,1,2,8,
2398795,1,prior,2,3,7,15
473747,1,prior,3,3,12,21
2254736,1,prior,4,4,7,29
431534,1,prior,5,4,15,28
3367565,1,prior,6,2,7,19
550135,1,prior,7,1,9,20
3108588,1,prior,8,1,14,14
2295261,1,prior,9,1,16,0
2550362,1,prior,10,4,8,30
1187899,1,train,11,4,8,14
2168274,2,prior,1,2,11,
1501582,2,prior,2,5,10,10
1901567,2,prior,3,1,10,3
738281,2,prior,4,2,10,8
1673511,2,prior,5,3,11,8
1199898,2,prior,6,2,9,13
3194192,2,prior,7,2,12,14
788338,2,prior,8,1,15,27
1718559,2,prior,9,2,9,8
