"aisle_id","aisle"
"1","prepared soups salads"
"2","specialty cheeses"
"3","energy granola bars"
"4","instant foods"
"5","marinades meat preparation"
"6","other"
"7","packaged meat"
"8","bakery desserts"
"9","pasta sauce"
"10","kitchen supplies"
"11","cold flu allergy"
"12","fresh pasta"
"13","prepared meals"
"14","tofu meat alternatives"
"15","packaged seafood"
"16","fresh herbs"
"17","baking ingredients"
"18","bulk dried fruits vegetables"
"19","oils vinegars"
"20","oral hygiene"
"21","packaged cheese"
"22","hair care"
"23","popcorn jerky"
"24","fresh fruits"
"25","soap"
"26","coffee"
"27","beers coolers"
"28","red wines"
"29","honeys syrups nectars"
"30","latino foods"
"31","refrigerated"
"32","packaged produce"
"33","kosher foods"
"34","frozen meat seafood"
"35","poultry counter"
"36","butter"
"37","ice cream ice"
"38","frozen meals"
"39","seafood counter"
"40","dog food care"
"41","cat food care"
"42","frozen vegan vegetarian"
"43","buns rolls"
"44","eye ear care"
"45","candy chocolate"
"46","mint gum"
"47","vitamins supplements"
"48","breakfast bars pastries"
"49","packaged poultry"
"50","fruit vegetable snacks"
"51","preserved dips spreads"
"52","frozen breakfast"
"53","cream"
"54","paper goods"
"55","shave needs"
"56","diapers wipes"
"57","granola"
"58","frozen breads doughs"
"59","canned meals beans"
"60","trash bags liners"
"61","cookies cakes"
"62","white wines"
"63","grains rice dried goods"
"64","energy sports drinks"
"65","protein meal replacements"
"66","asian foods"
"67","fresh dips tapenades"
"68","bulk grains rice dried goods"
"69","soup broth bouillon"
"70","digestion"
"71","refrigerated pudding desserts"
"72","condiments"
"73","facial care"
"74","dish detergents"
"75","laundry"
"76","indian foods"
"77","soft drinks"
"78","crackers"
"79","frozen pizza"
"80","deodorants"
"81","canned jarred vegetables"
"82","baby accessories"
"83","fresh vegetables"
"84","milk"
"85","food storage"
"86","eggs"
"87","more household"
"88","spreads"
"89","salad dressing toppings"
"90","cocoa drink mixes"
"91","soy lactosefree"
"92","baby food formula"
"93","breakfast bakery"
"94","tea"
"95","canned meat seafood"
"96","lunch meat"
"97","baking supplies decor"
"98","juice nectars"
"99","canned fruit applesauce"
"100","missing"
