"order_id","product_id","add_to_cart_order","reordered","reorder_status"
"1765172","46667","2","1","Reordered"
"1765172","10246","3","1","Reordered"
"1765172","16253","4","0","First Purchase"
"1765289","39758","3","0","First Purchase"
"1765289","13194","4","0","First Purchase"
"1765356","2979","1","0","First Purchase"
"1765356","49412","2","1","Reordered"
"1765356","28934","3","0","First Purchase"
"1765363","42006","1","1","Reordered"
"1765363","38233","2","1","Reordered"
"1765363","7733","3","1","Reordered"
"1765363","1160","4","1","Reordered"
"1765363","45566","5","1","Reordered"
"1765363","45149","6","0","First Purchase"
"1765363","41352","7","0","First Purchase"
"1765363","32886","8","0","First Purchase"
"1765363","39059","9","1","Reordered"
"1765364","10326","1","1","Reordered"
"1765364","13176","2","1","Reordered"
"1765364","25588","3","1","Reordered"
"1765364","3298","4","1","Reordered"
"1765407","48697","1","0","First Purchase"
"1765407","48123","2","0","First Purchase"
"1765407","32927","3","0","First Purchase"
"1765407","41613","4","0","First Purchase"
"1765407","35217","5","0","First Purchase"
"1765407","15899","6","0","First Purchase"
"1765407","5605","7","0","First Purchase"
"1765407","11520","8","0","First Purchase"
"1765407","2078","9","1","Reordered"
"1765407","49119","10","0","First Purchase"
"1765407","47766","11","1","Reordered"
"1765407","7628","12","0","First Purchase"
"1765407","26209","13","0","First Purchase"
"1765407","28842","14","0","First Purchase"
"1765172","36389","5","0","First Purchase"
"1765172","9534","6","0","First Purchase"
"1765193","47209","1","1","Reordered"
"1765193","41177","2","1","Reordered"
"1765199","7969","9","1","Reordered"
"1765199","42265","10","0","First Purchase"
"1765199","21137","11","0","First Purchase"
"1765199","45066","12","0","First Purchase"
"1765199","10749","13","0","First Purchase"
"1765199","35547","14","0","First Purchase"
"1765222","6729","1","0","First Purchase"
"1765222","5258","2","1","Reordered"
"1765236","13176","1","1","Reordered"
"1765236","47209","2","0","First Purchase"
"1765236","21137","3","1","Reordered"
"1765236","39275","4","0","First Purchase"
"1765236","24838","5","0","First Purchase"
"1765236","27608","6","0","First Purchase"
"1765289","5987","1","0","First Purchase"
"1765289","31848","2","0","First Purchase"
"1765199","18465","1","1","Reordered"
"1765199","24535","2","0","First Purchase"
"1765199","2314","3","0","First Purchase"
"1765199","38273","4","0","First Purchase"
"1765199","34358","5","0","First Purchase"
"1765199","4605","6","1","Reordered"
"1765199","15937","7","0","First Purchase"
"1765199","43789","8","1","Reordered"
"1765407","24852","15","0","First Purchase"
"1765417","30391","1","0","First Purchase"
"1765465","19875","1","1","Reordered"
"1765465","8518","2","1","Reordered"
"1765465","5380","3","1","Reordered"
"1765465","24964","4","0","First Purchase"
"1765465","31553","5","0","First Purchase"
"1765465","13176","6","1","Reordered"
"1765465","21137","7","1","Reordered"
"1765465","8193","8","1","Reordered"
"1765465","9020","9","0","First Purchase"
"1765465","31717","10","1","Reordered"
"1765465","34969","11","0","First Purchase"
"1765473","45222","1","1","Reordered"
"1765473","3145","2","1","Reordered"
"1765473","10172","3","0","First Purchase"
"1765473","32996","4","0","First Purchase"
"1765473","25300","5","0","First Purchase"
"1765473","3434","6","0","First Purchase"
"1765473","41387","7","0","First Purchase"
"1765473","24203","8","0","First Purchase"
"1765473","4006","9","0","First Purchase"
"1765473","17579","10","0","First Purchase"
"1765473","25949","11","1","Reordered"
"1765473","22069","12","1","Reordered"
"1765473","17478","13","0","First Purchase"
"1765473","37388","14","0","First Purchase"
"1765473","33719","15","0","First Purchase"
"1765473","1432","16","0","First Purchase"
"1765473","32794","17","0","First Purchase"
"1765473","20340","18","0","First Purchase"
"1765556","9076","1","1","Reordered"
"1765556","24852","2","1","Reordered"
"1765556","7631","3","0","First Purchase"
"1765556","24890","4","0","First Purchase"
"1765556","40974","5","0","First Purchase"
"1765556","48705","6","1","Reordered"
